,date_start,year,no_of_events
227,1996-12-25,1996,1
228,1997-01-07,1997,1
229,1997-01-29,1997,1
230,1997-02-23,1997,1
231,1997-03-11,1997,1
232,1997-05-01,1997,1
233,1997-05-09,1997,1
234,1997-05-14,1997,1
235,1997-05-16,1997,1
236,1997-05-18,1997,1
237,1997-06-04,1997,1
238,1997-06-05,1997,1
239,1997-06-09,1997,1
240,1997-09-06,1997,1
241,1997-09-13,1997,1
242,1997-09-16,3994,2
243,1997-09-26,5991,3
244,1997-10-02,5991,3
245,1997-10-07,1997,1
246,1997-10-08,1997,1
247,1997-10-25,1997,1
248,1997-10-30,3994,2
249,1997-11-08,1997,1
250,1997-12-01,1997,1
251,1997-12-06,1997,1
252,1997-12-24,1997,1
253,1998-04-01,1998,1
254,1998-05-25,1998,1
255,1998-06-03,1998,1
256,1998-06-05,1998,1
257,1998-07-18,1998,1
258,1998-08-01,3996,2
259,1998-08-07,1998,1
260,1998-11-12,1998,1
261,1999-01-15,1999,1
262,1999-03-01,1999,1
263,1999-03-10,1999,1
264,1999-04-16,1999,1
265,1999-04-18,1999,1
266,1999-04-26,1999,1
267,1999-05-07,1999,1
268,1999-05-14,1999,1
269,1999-05-17,1999,1
270,1999-06-05,1999,1
271,1999-06-09,1999,1
272,1999-07-01,1999,1
273,1999-07-10,1999,1
274,1999-07-11,1999,1
275,1999-09-11,1999,1
276,1999-11-02,1999,1
277,1999-11-24,1999,1
278,2000-03-22,2000,1
279,2000-05-07,2000,1
280,2000-07-11,2000,1
281,2000-09-11,2000,1
282,2000-09-15,2000,1
283,2000-09-28,2000,1
284,2000-10-02,2000,1
285,2000-12-03,2000,1
286,2001-04-18,8004,4
287,2001-06-07,2001,1
288,2001-09-16,2001,1
289,2001-09-23,2001,1
290,2002-03-21,2002,1
291,2002-04-02,2002,1
292,2002-05-26,2002,1
293,2002-07-08,2002,1
294,2002-12-15,4004,2
295,2003-02-08,2003,1
296,2003-03-04,2003,1
297,2003-03-17,2003,1
298,2003-03-20,6009,3
299,2003-03-21,8012,4
300,2003-03-22,12018,6
301,2003-03-23,8012,4
302,2003-03-24,12018,6
303,2003-03-25,14021,7
304,2003-03-26,2003,1
305,2003-03-27,4006,2
306,2003-03-28,10015,5
307,2003-03-29,8012,4
308,2003-03-30,6009,3
309,2003-03-31,4006,2
310,2003-04-01,16024,8
311,2003-04-02,6009,3
312,2003-04-03,14021,7
313,2003-04-04,10015,5
314,2003-04-05,8012,4
315,2003-04-06,6009,3
316,2003-04-07,14021,7
317,2003-04-08,12018,6
318,2003-04-10,4006,2
319,2003-04-11,2003,1
320,2003-04-12,4006,2
321,2003-04-13,2003,1
322,2003-04-14,2003,1
323,2003-04-28,2003,1
324,2003-08-29,2003,1
325,2003-10-14,2003,1
326,2003-11-20,2003,1
327,2003-12-12,2003,1
328,2004-01-05,2004,1
329,2004-01-18,2004,1
330,2004-01-31,2004,1
331,2004-02-01,2004,1
332,2004-02-10,2004,1
333,2004-02-11,2004,1
334,2004-02-14,2004,1
335,2004-02-18,2004,1
336,2004-02-19,2004,1
337,2004-02-21,2004,1
338,2004-02-23,2004,1
339,2004-02-28,2004,1
340,2004-03-05,2004,1
341,2004-03-07,2004,1
342,2004-03-08,2004,1
343,2004-03-16,2004,1
344,2004-03-17,6012,3
345,2004-03-20,2004,1
346,2004-03-28,2004,1
347,2004-04-04,6012,3
348,2004-04-05,6012,3
349,2004-04-06,4008,2
350,2004-04-07,4008,2
351,2004-04-12,2004,1
352,2004-04-16,4008,2
353,2004-04-21,4008,2
354,2004-04-23,2004,1
355,2004-04-24,4008,2
356,2004-04-26,2004,1
357,2004-04-27,8016,4
358,2004-04-28,2004,1
359,2004-04-30,2004,1
360,2004-05-01,2004,1
361,2004-05-02,2004,1
362,2004-05-03,2004,1
363,2004-05-05,8016,4
364,2004-05-06,4008,2
365,2004-05-07,2004,1
366,2004-05-08,4008,2
367,2004-05-09,2004,1
368,2004-05-10,6012,3
369,2004-05-12,4008,2
370,2004-05-14,4008,2
371,2004-05-15,4008,2
372,2004-05-16,4008,2
373,2004-05-17,6012,3
374,2004-05-18,2004,1
375,2004-05-19,4008,2
376,2004-05-20,2004,1
377,2004-05-22,4008,2
378,2004-05-23,2004,1
379,2004-05-25,2004,1
380,2004-05-26,2004,1
381,2004-05-28,4008,2
382,2004-05-29,2004,1
383,2004-05-30,6012,3
384,2004-05-31,2004,1
385,2004-06-01,2004,1
386,2004-06-02,4008,2
387,2004-06-04,4008,2
388,2004-06-05,4008,2
389,2004-06-06,4008,2
390,2004-06-10,4008,2
391,2004-06-12,2004,1
392,2004-06-15,2004,1
393,2004-06-19,2004,1
394,2004-06-21,2004,1
395,2004-06-22,4008,2
396,2004-06-23,4008,2
397,2004-06-24,8016,4
398,2004-06-25,2004,1
399,2004-06-26,4008,2
400,2004-06-30,2004,1
401,2004-07-01,2004,1
402,2004-07-05,4008,2
403,2004-07-06,2004,1
404,2004-07-07,6012,3
405,2004-07-12,2004,1
406,2004-07-13,2004,1
407,2004-07-14,2004,1
408,2004-07-17,2004,1
409,2004-07-19,2004,1
410,2004-07-23,2004,1
411,2004-07-25,2004,1
412,2004-07-26,2004,1
413,2004-08-01,2004,1
414,2004-08-02,4008,2
415,2004-08-03,2004,1
416,2004-08-04,4008,2
417,2004-08-05,12024,6
418,2004-08-07,8016,4
419,2004-08-09,4008,2
420,2004-08-10,2004,1
421,2004-08-11,4008,2
422,2004-08-12,4008,2
423,2004-08-15,2004,1
424,2004-08-16,2004,1
425,2004-08-17,2004,1
426,2004-08-18,6012,3
427,2004-08-19,6012,3
428,2004-08-21,2004,1
429,2004-08-22,4008,2
430,2004-08-23,2004,1
431,2004-08-24,4008,2
432,2004-08-25,4008,2
433,2004-08-26,6012,3
434,2004-08-28,4008,2
435,2004-08-29,8016,4
436,2004-08-31,2004,1
