,date_start,year,no_of_events
199,1997-10-30,1997,1
200,1997-11-08,1997,1
201,1997-11-18,1997,1
202,1997-11-28,1997,1
203,1997-12-19,1997,1
204,1997-12-20,1997,1
205,1997-12-26,1997,1
206,1997-12-29,1997,1
207,1998-01-01,1998,1
208,1998-01-02,1998,1
209,1998-02-05,1998,1
210,1998-02-06,1998,1
211,1998-02-11,1998,1
212,1998-02-12,1998,1
213,1998-03-07,1998,1
214,1998-03-14,1998,1
215,1998-03-15,1998,1
216,1998-03-19,1998,1
217,1998-03-25,1998,1
218,1998-03-27,1998,1
219,1998-03-28,1998,1
220,1998-03-29,1998,1
221,1998-04-12,1998,1
222,1998-05-04,1998,1
223,1998-05-07,1998,1
224,1998-05-08,1998,1
225,1998-05-20,1998,1
226,1998-05-23,1998,1
227,1998-06-05,1998,1
228,1998-06-07,1998,1
229,1998-06-14,1998,1
230,1998-06-28,1998,1
231,1998-07-12,1998,1
232,1998-07-16,1998,1
233,1998-07-18,1998,1
234,1998-07-20,1998,1
235,1998-07-22,1998,1
236,1998-07-26,1998,1
237,1998-07-29,1998,1
238,1998-07-30,1998,1
239,1998-08-01,1998,1
240,1998-08-03,1998,1
241,1998-08-04,1998,1
242,1998-08-10,1998,1
243,1998-08-15,1998,1
244,1998-08-17,1998,1
245,1998-08-18,1998,1
246,1998-08-23,1998,1
247,1998-08-25,1998,1
248,1998-08-26,1998,1
249,1998-08-30,1998,1
250,1998-09-01,1998,1
251,1998-09-02,1998,1
252,1998-09-11,1998,1
253,1998-09-15,1998,1
254,1998-09-21,1998,1
255,1998-09-29,1998,1
256,1998-10-01,1998,1
257,1998-10-06,1998,1
258,1998-10-07,1998,1
259,1998-10-10,1998,1
260,1998-10-12,1998,1
261,1998-10-13,1998,1
262,1998-10-17,1998,1
263,1998-10-24,1998,1
264,1998-10-25,1998,1
265,1998-10-30,1998,1
266,1998-11-03,1998,1
267,1998-11-10,1998,1
268,1998-11-12,1998,1
269,1998-11-13,1998,1
270,1998-11-14,1998,1
271,1998-11-15,1998,1
272,1998-11-17,1998,1
273,1998-11-18,1998,1
274,1998-11-22,1998,1
275,1998-11-23,1998,1
276,1998-11-26,1998,1
277,1998-12-03,1998,1
278,1998-12-08,1998,1
279,1998-12-09,1998,1
280,1998-12-10,1998,1
281,1998-12-11,1998,1
282,1998-12-13,1998,1
283,1998-12-17,1998,1
284,1998-12-23,1998,1
285,1998-12-26,1998,1
286,1999-01-12,1999,1
287,1999-01-21,1999,1
288,1999-01-22,1999,1
289,1999-01-24,1999,1
290,1999-01-25,1999,1
291,1999-01-26,1999,1
292,1999-02-24,1999,1
293,1999-03-04,1999,1
294,1999-03-08,1999,1
295,1999-03-13,1999,1
296,1999-03-28,1999,1
297,1999-03-31,1999,1
298,1999-04-05,1999,1
299,1999-04-21,1999,1
300,1999-04-27,1999,1
301,1999-05-01,1999,1
302,1999-05-02,1999,1
303,1999-05-06,1999,1
304,1999-05-08,1999,1
305,1999-05-11,1999,1
306,1999-05-15,1999,1
307,1999-05-21,1999,1
308,1999-05-23,1999,1
309,1999-05-26,1999,1
310,1999-05-28,1999,1
311,1999-05-31,1999,1
312,1999-06-04,1999,1
313,1999-06-07,1999,1
314,1999-06-08,1999,1
315,1999-06-09,1999,1
316,1999-06-14,1999,1
317,1999-06-16,1999,1
318,1999-06-22,1999,1
319,1999-07-04,1999,1
320,1999-07-08,1999,1
321,1999-07-18,1999,1
322,1999-07-21,1999,1
323,1999-07-30,1999,1
324,1999-07-31,1999,1
325,1999-08-10,1999,1
326,1999-08-24,1999,1
327,1999-09-01,1999,1
328,1999-09-03,1999,1
329,1999-09-08,1999,1
330,1999-09-12,1999,1
331,1999-09-13,1999,1
332,1999-09-30,1999,1
333,1999-10-02,1999,1
334,1999-10-08,1999,1
335,1999-10-09,1999,1
336,1999-10-17,1999,1
337,1999-10-26,1999,1
338,1999-10-27,1999,1
339,1999-10-30,1999,1
340,1999-11-03,1999,1
341,1999-11-06,1999,1
342,1999-11-09,1999,1
343,1999-11-13,1999,1
344,1999-12-12,1999,1
345,1999-12-17,1999,1
346,1999-12-19,1999,1
347,1999-12-24,1999,1
348,1999-12-30,1999,1
349,2000-01-02,2000,1
350,2000-01-04,2000,1
351,2000-01-22,2000,1
352,2000-01-23,2000,1
353,2000-01-26,2000,1
354,2000-02-01,2000,1
355,2000-02-10,2000,1
356,2000-02-14,2000,1
357,2000-02-23,2000,1
358,2000-02-27,2000,1
359,2000-03-02,2000,1
360,2000-03-10,2000,1
361,2000-03-13,2000,1
362,2000-03-18,2000,1
363,2000-03-19,2000,1
364,2000-03-23,2000,1
365,2000-03-28,2000,1
366,2000-03-29,2000,1
367,2000-04-02,2000,1
368,2000-04-03,2000,1
369,2000-04-06,2000,1
370,2000-04-14,2000,1
371,2000-04-20,2000,1
