,iyear,imonth,iday,country_txt,index,country,region,latitude,longitude,nperps,guncertain1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propvalue,ransompaidus,no_of_events,date
32,2014,1,21,Ukraine,18855,214,9,50.4501,30.5234,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,1,2014-01-21
33,2014,1,31,Ukraine,19028,214,9,50.447886,30.528839,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,0.0,0.0,1,2014-01-31
34,2014,2,6,Ukraine,19147,214,9,50.4501,30.5234,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,1,2014-02-06
35,2014,2,7,Ukraine,19165,214,9,49.9935,36.230383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,2014-02-07
36,2014,2,12,Ukraine,19251,214,9,50.431287,30.533786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,2014-02-12
37,2014,2,18,Ukraine,38658,428,18,98.92038199999999,65.55677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2,2014-02-18
38,2014,2,19,Ukraine,96798,1070,45,244.576664,167.31319200000002,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2,0.0,0.0,5,2014-02-19
39,2014,2,20,Ukraine,19410,214,9,46.48153,30.72315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,2014-02-20
40,2014,2,25,Ukraine,19551,214,9,48.413610999999996,33.702778,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,2014-02-25
41,2014,2,26,Ukraine,19526,214,9,49.015066999999995,33.646497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9,0.0,0.0,1,2014-02-26
42,2014,2,27,Ukraine,19553,214,9,44.951679,34.104599,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,2014-02-27
43,2014,2,28,Ukraine,19576,214,9,45.283812,34.325856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,2014-02-28
44,2014,3,9,Ukraine,39577,428,18,92.231796,67.37737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,2014-03-09
45,2014,3,15,Ukraine,39809,428,18,94.219831,69.754406,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1,0.0,0.0,2,2014-03-15
46,2014,3,18,Ukraine,39909,428,18,89.69433699999999,67.96597499999999,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,2,2014-03-18
47,2014,4,4,Ukraine,20340,214,9,49.415036,31.263602000000002,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,2014-04-04
48,2014,4,6,Ukraine,20412,214,9,48.56162,39.315353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,2014-04-06
49,2014,4,7,Ukraine,61305,642,27,146.539115,113.44196899999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,3,2014-04-07
50,2014,4,12,Ukraine,164093,1712,72,388.893147,301.856388,20.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-15,0.0,0.0,8,2014-04-12
51,2014,4,13,Ukraine,102748,1070,45,241.353197,190.60264,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-27,0.0,0.0,5,2014-04-13
52,2014,4,14,Ukraine,82297,856,36,192.647558,152.791739,150.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-26,0.0,0.0,4,2014-04-14
53,2014,4,15,Ukraine,103027,1070,45,238.11700000000002,187.330018,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7,0.0,0.0,5,2014-04-15
54,2014,4,16,Ukraine,41241,428,18,95.956263,75.148118,300.0,0.0,3.0,0.0,3.0,13.0,0.0,13.0,1,0.0,0.0,2,2014-04-16
55,2014,4,17,Ukraine,61939,642,27,145.17782499999998,114.270047,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,3,2014-04-17
56,2014,4,19,Ukraine,20676,214,9,48.8532,37.6053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,2014-04-19
57,2014,4,20,Ukraine,20689,214,9,48.8532,37.6053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,2014-04-20
58,2014,4,21,Ukraine,62108,642,27,146.434594,112.783784,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,0.0,0.0,3,2014-04-21
59,2014,4,22,Ukraine,82912,856,36,194.536505,151.01542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,4,2014-04-22
60,2014,4,23,Ukraine,20753,214,9,48.8532,37.6053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,2014-04-23
61,2014,4,24,Ukraine,20782,214,9,48.598667,37.998037,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9,0.0,0.0,1,2014-04-24
62,2014,4,25,Ukraine,83002,856,36,192.903938,143.589291,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1,0.0,0.0,4,2014-04-25
63,2014,4,26,Ukraine,83221,856,36,195.295097,150.40185400000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-9,0.0,0.0,4,2014-04-26
64,2014,4,27,Ukraine,20825,214,9,48.307958,38.031414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,2014-04-27
65,2014,4,28,Ukraine,125073,1284,54,291.219779,225.18833999999998,300.0,1.0,1.0,0.0,0.0,29.0,0.0,0.0,-18,0.0,0.0,6,2014-04-28
66,2014,4,29,Ukraine,125283,1284,54,291.600848,231.772669,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26,0.0,0.0,6,2014-04-29
67,2014,4,30,Ukraine,62719,642,27,145.094372,114.862717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18,0.0,0.0,3,2014-04-30
68,2014,5,1,Ukraine,20925,214,9,48.574040999999994,39.307815000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,2014-05-01
69,2014,5,2,Ukraine,167489,1712,72,384.413031,288.74326299999996,0.0,0.0,48.0,0.0,0.0,1.0,0.0,0.0,-16,0.0,0.0,8,2014-05-02
70,2014,5,3,Ukraine,83868,856,36,192.84704499999998,153.587942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8,0.0,0.0,4,2014-05-03
71,2014,5,4,Ukraine,41973,428,18,94.682549,68.062477,3000.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2,0.0,0.0,2,2014-05-04
72,2014,5,5,Ukraine,63024,642,27,146.402699,114.192267,0.0,0.0,35.0,0.0,31.0,34.0,0.0,3.0,-7,0.0,0.0,3,2014-05-05
73,2014,5,6,Ukraine,84140,856,36,191.840638,150.428101,10.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1,0.0,0.0,4,2014-05-06
74,2014,5,7,Ukraine,42092,428,18,97.95293000000001,75.32252600000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9,0.0,0.0,2,2014-05-07
75,2014,5,8,Ukraine,63210,642,27,145.477489,114.878952,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,3,2014-05-08
76,2014,5,9,Ukraine,84310,856,36,192.660283,143.426791,62.0,0.0,3.0,0.0,0.0,27.0,0.0,0.0,1,0.0,0.0,4,2014-05-09
77,2014,5,11,Ukraine,21144,214,9,48.598282,37.996832,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,1,2014-05-11
78,2014,5,12,Ukraine,42376,428,18,96.952272,61.957572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2,2014-05-12
79,2014,5,13,Ukraine,63578,642,27,146.58656200000001,112.987119,30.0,0.0,7.0,0.0,1.0,11.0,0.0,4.0,-8,0.0,0.0,3,2014-05-13
80,2014,5,14,Ukraine,21250,214,9,50.449152000000005,30.525385999999997,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,1,2014-05-14
81,2014,5,15,Ukraine,106379,1070,45,242.97992,159.886675,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2,0.0,0.0,5,2014-05-15
82,2014,5,17,Ukraine,21317,214,9,49.993323,36.231486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9,0.0,0.0,1,2014-05-17
83,2014,5,18,Ukraine,128091,1284,54,293.14404900000005,226.25928500000003,18.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,-8,0.0,0.0,6,2014-05-18
84,2014,5,19,Ukraine,64092,642,27,144.843117,115.20317,59.0,0.0,2.0,0.0,1.0,10.0,0.0,7.0,1,0.0,0.0,3,2014-05-19
85,2014,5,21,Ukraine,42800,428,18,97.317917,72.651483,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2,2014-05-21
86,2014,5,22,Ukraine,64281,642,27,145.57174600000002,114.20442600000001,0.0,0.0,10.0,0.0,1.0,20.0,0.0,0.0,3,0.0,0.0,3,2014-05-22
87,2014,5,23,Ukraine,42948,428,18,97.121017,75.859414,500.0,0.0,21.0,0.0,20.0,9.0,0.0,0.0,1,0.0,0.0,2,2014-05-23
88,2014,5,24,Ukraine,43010,428,18,97.7064,75.2106,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1,0.0,0.0,2,2014-05-24
89,2014,5,25,Ukraine,64561,642,27,146.679688,117.239244,50.0,0.0,3.0,0.0,2.0,4.0,0.0,0.0,-8,0.0,0.0,3,2014-05-25
90,2014,5,26,Ukraine,64596,642,27,144.937743,113.14845100000001,2.0,0.0,42.0,0.0,2.0,0.0,0.0,0.0,1,0.0,0.0,3,2014-05-26
91,2014,5,27,Ukraine,64671,642,27,144.01734900000002,113.453062,17.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1,0.0,0.0,3,2014-05-27
92,2014,5,28,Ukraine,43162,428,18,96.588607,77.112824,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,-9,0.0,0.0,2,2014-05-28
93,2014,5,29,Ukraine,43228,428,18,98.84652299999999,73.83678599999999,0.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,2,0.0,0.0,2,2014-05-29
94,2014,5,30,Ukraine,64903,642,27,145.524765,115.60914199999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,2014-05-30
95,2014,5,31,Ukraine,64939,642,27,144.08702,114.624014,80.0,0.0,6.0,0.0,6.0,3.0,0.0,0.0,-27,0.0,0.0,3,2014-05-31
96,2014,6,1,Ukraine,21670,214,9,44.954632000000004,34.115474,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1,0.0,0.0,1,2014-06-01
97,2014,6,2,Ukraine,43419,428,18,97.138076,78.64456,100.0,0.0,10.0,0.0,5.0,21.0,0.0,8.0,-8,0.0,0.0,2,2014-06-02
98,2014,6,3,Ukraine,86838,856,36,194.91627499999998,151.014168,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,1,0.0,0.0,4,2014-06-03
99,2014,6,4,Ukraine,21730,214,9,48.569038,39.32228,300.0,0.0,3.0,0.0,3.0,23.0,0.0,20.0,1,0.0,0.0,1,2014-06-04
100,2014,6,5,Ukraine,87001,856,36,191.5205,156.78080500000002,0.0,0.0,15.0,0.0,15.0,5.0,0.0,0.0,0,0.0,0.0,4,2014-06-05
101,2014,6,6,Ukraine,65343,642,27,146.18083099999998,114.01010199999999,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1,0.0,0.0,3,2014-06-06
102,2014,6,7,Ukraine,21793,214,9,48.596317,37.996970000000005,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1,0.0,0.0,1,2014-06-07
103,2014,6,8,Ukraine,65465,642,27,146.431864,115.30234899999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,3,2014-06-08
104,2014,6,9,Ukraine,65559,642,27,146.201656,114.657927,50.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-7,0.0,0.0,3,2014-06-09
105,2014,6,10,Ukraine,109397,1070,45,242.780705,190.00453900000002,10.0,0.0,41.0,0.0,41.0,4.0,0.0,0.0,-8,0.0,0.0,5,2014-06-10
106,2014,6,11,Ukraine,43837,428,18,96.32858300000001,76.658802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,2014-06-11
107,2014,6,12,Ukraine,21938,214,9,48.010690999999994,37.80594,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1,0.0,0.0,1,2014-06-12
108,2014,6,13,Ukraine,21948,214,9,48.425534000000006,37.216681,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1,0.0,0.0,1,2014-06-13
109,2014,6,14,Ukraine,109888,1070,45,244.522874,175.775815,206.0,0.0,54.0,0.0,0.0,7.0,0.0,0.0,-7,0.0,0.0,5,2014-06-14
110,2014,6,15,Ukraine,44091,428,18,96.41852,75.889011,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,0.0,0.0,2,2014-06-15
111,2014,6,16,Ukraine,22042,214,9,48.012056,37.805285999999995,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,2014-06-16
112,2014,6,17,Ukraine,88257,856,36,194.76803,149.136209,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,1,0.0,0.0,4,2014-06-17
113,2014,6,20,Ukraine,154760,1498,63,336.870658,270.44306200000005,100.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,-35,0.0,0.0,7,2014-06-20
114,2014,6,21,Ukraine,44247,428,18,95.87165200000001,77.11794,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,2,2014-06-21
115,2014,6,22,Ukraine,110705,1070,45,240.034849,194.784877,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-25,0.0,0.0,5,2014-06-22
116,2014,6,23,Ukraine,88638,856,36,194.333865,152.948959,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-18,0.0,0.0,4,2014-06-23
117,2014,6,24,Ukraine,155179,1498,63,337.521384,263.90019,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,-14,0.0,0.0,7,2014-06-24
118,2014,6,25,Ukraine,110977,1070,45,241.941615,191.435746,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,-16,0.0,0.0,5,2014-06-25
119,2014,6,26,Ukraine,44415,428,18,96.02624399999999,75.620496,200.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,-9,0.0,0.0,2,2014-06-26
120,2014,6,27,Ukraine,44455,428,18,96.753097,75.401599,0.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,-8,0.0,0.0,2,2014-06-27
121,2014,6,28,Ukraine,22237,214,9,47.88362,38.781484999999996,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,-9,0.0,0.0,1,2014-06-28
122,2014,6,29,Ukraine,22242,214,9,47.971268,37.814955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9,0.0,0.0,1,2014-06-29
123,2014,6,30,Ukraine,22272,214,9,48.850691,37.608076000000004,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,-9,0.0,0.0,1,2014-06-30
124,2014,7,1,Ukraine,44581,428,18,95.134907,75.869894,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,-8,0.0,0.0,2,2014-07-01
