,date_start,year,no_of_events
227,2015-06-03,4030,2
228,2015-06-04,4030,2
229,2015-06-05,2015,1
230,2015-06-07,2015,1
231,2015-06-08,4030,2
232,2015-06-09,4030,2
233,2015-06-10,6045,3
234,2015-06-12,2015,1
235,2015-06-13,4030,2
236,2015-06-14,4030,2
237,2015-06-15,2015,1
238,2015-06-17,4030,2
239,2015-06-18,2015,1
240,2015-06-20,2015,1
241,2015-06-21,2015,1
242,2015-06-22,4030,2
243,2015-07-01,2015,1
244,2015-07-02,2015,1
245,2015-07-04,2015,1
246,2015-07-08,2015,1
247,2015-07-09,4030,2
248,2015-07-11,4030,2
249,2015-07-14,10075,5
250,2015-07-17,4030,2
251,2015-07-18,6045,3
252,2015-07-25,2015,1
253,2015-07-26,4030,2
254,2015-07-29,4030,2
255,2015-08-01,2015,1
256,2015-08-03,4030,2
257,2015-08-05,6045,3
258,2015-08-07,2015,1
259,2015-08-09,2015,1
260,2015-08-11,2015,1
261,2015-08-13,4030,2
262,2015-08-14,2015,1
263,2015-08-15,2015,1
264,2015-08-16,10075,5
265,2015-08-17,4030,2
266,2015-08-19,2015,1
267,2015-08-25,2015,1
268,2015-08-26,2015,1
269,2015-08-28,2015,1
270,2015-09-04,2015,1
271,2015-09-10,2015,1
272,2015-09-13,4030,2
273,2015-09-18,4030,2
274,2015-09-19,2015,1
275,2015-09-26,2015,1
276,2015-10-09,2015,1
277,2015-10-14,2015,1
278,2015-10-15,2015,1
279,2015-10-20,2015,1
280,2015-10-27,2015,1
281,2015-10-30,2015,1
282,2015-10-31,2015,1
283,2015-11-10,2015,1
284,2015-11-11,2015,1
285,2015-11-13,4030,2
286,2015-11-14,6045,3
287,2015-11-15,2015,1
288,2015-12-04,2015,1
289,2015-12-06,2015,1
290,2015-12-27,2015,1
291,2016-01-09,4032,2
292,2016-01-10,4032,2
293,2016-01-18,2016,1
294,2016-01-31,4032,2
295,2016-02-01,4032,2
296,2016-02-02,2016,1
297,2016-02-04,2016,1
298,2016-02-10,2016,1
299,2016-02-15,2016,1
300,2016-02-20,2016,1
301,2016-02-21,4032,2
302,2016-02-26,2016,1
303,2016-02-28,2016,1
304,2016-02-29,2016,1
305,2016-03-05,2016,1
306,2016-03-12,4032,2
307,2016-03-18,2016,1
308,2016-03-19,2016,1
309,2016-03-25,2016,1
310,2016-03-26,2016,1
311,2016-03-29,2016,1
312,2016-04-04,2016,1
